City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Maraa,BR,-1.8333,-65.3667,95.52,38,99,1.95,overcast clouds
158,Richards Bay,ZA,-28.783,32.0377,71.1,87,13,12.3,few clouds
159,Divnomorskoye,RU,44.5011,38.1353,65.16,81,3,4.12,clear sky
160,Turinsk,RU,58.0458,63.696,23.76,84,10,4.5,clear sky
161,Cefalu,IT,38.0386,14.0229,74.53,58,0,5.99,clear sky
162,Sisimiut,GL,66.9395,-53.6735,37.38,94,100,12.68,overcast clouds
163,Raahe,FI,64.6833,24.4833,41.09,88,100,7.0,overcast clouds
164,Severnoye,RU,56.3491,78.3619,25.68,91,79,10.45,broken clouds
165,Grand Gaube,MU,-20.0064,57.6608,67.37,78,3,3.0,moderate rain
166,Gornyak,RU,50.9942,81.4661,26.06,69,71,5.68,broken clouds
167,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,88,100,12.66,overcast clouds
168,Buraydah,SA,26.326,43.975,78.4,14,0,12.44,clear sky
169,Gurlan,UZ,41.8447,60.3919,59.07,31,57,15.73,broken clouds
170,Shushtar,IR,32.0455,48.8567,85.03,13,0,1.86,clear sky
171,Khipro,PK,25.8285,69.3772,83.48,53,57,12.48,broken clouds
172,Faya,SA,18.3851,42.4509,64.92,24,4,5.35,clear sky
173,San Cristobal,VE,7.7669,-72.225,82.89,50,68,3.49,broken clouds
174,Belmonte,BR,-15.8631,-38.8828,76.87,73,6,8.41,clear sky
175,Mafinga,TZ,-7.25,35.0667,73.85,40,100,7.85,overcast clouds
176,Sandnessjoen,NO,66.0217,12.6316,50.41,64,0,5.75,clear sky
177,Filingue,NE,14.3521,3.3168,92.79,38,17,8.99,few clouds
178,Ambovombe,MG,-25.1667,46.0833,67.32,64,0,7.76,clear sky
179,Riyadh,SA,24.6877,46.7219,82.54,14,0,7.92,clear sky
180,Fez,MA,34.0372,-4.9998,66.45,59,40,12.66,scattered clouds
181,El Ejido,ES,36.7763,-2.8146,67.14,59,90,12.33,overcast clouds
182,Itaituba,BR,-4.2761,-55.9836,95.31,31,100,3.76,overcast clouds
183,Alenquer,BR,-1.9417,-54.7383,95.0,35,99,6.78,overcast clouds
184,Cockburn Town,TC,21.4612,-71.1419,81.14,74,21,9.15,few clouds
185,Derzhavinsk,KZ,51.1,66.3167,33.93,40,95,6.76,overcast clouds
186,Bentiu,SS,9.2333,29.8333,71.64,96,100,9.44,moderate rain
187,Cochrane,CA,51.1834,-114.4687,59.61,81,100,5.23,overcast clouds
188,Talnakh,RU,69.4865,88.3972,28.18,98,100,4.61,overcast clouds
189,Port Elizabeth,ZA,-33.918,25.5701,64.83,86,100,12.33,overcast clouds
190,Ler,SS,8.3018,30.1418,70.12,97,100,3.96,moderate rain
191,Magaria,NE,12.9983,8.9099,86.97,48,7,7.94,clear sky
192,Atar,MR,20.5169,-13.0499,94.57,22,21,10.04,few clouds
193,Saint Anthony,US,45.0205,-93.218,71.35,34,0,14.97,clear sky
194,West Bay,KY,19.3667,-81.4167,87.08,82,40,9.22,scattered clouds
195,Maltahohe,NA,-24.8333,16.9833,72.84,18,44,9.91,scattered clouds
196,Olafsvik,IS,64.8945,-23.7142,47.52,93,100,23.82,overcast clouds
197,Palasa,IN,18.7667,84.4167,78.8,86,99,5.1,overcast clouds
198,Rawson,AR,-43.3002,-65.1023,76.05,28,0,24.81,clear sky
199,Muros,ES,42.7762,-9.0603,58.08,89,5,8.43,clear sky
200,Bluefields,NI,12.0137,-83.7635,85.64,69,100,4.56,overcast clouds
201,San Carlos De Bariloche,AR,-41.1456,-71.3082,65.95,24,0,18.41,clear sky
202,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,2.3,broken clouds
203,Puerto Carreno,CO,6.189,-67.4859,91.04,51,43,4.18,scattered clouds
204,Bubaque,GW,11.2833,-15.8333,80.46,76,100,6.35,light rain
205,Vizinga,RU,61.0749,50.1031,33.33,84,100,9.46,light snow
206,Betsiamites,CA,48.9413,-68.646,55.49,48,14,7.92,few clouds
207,Dzaoudzi,YT,-12.7887,45.2699,75.09,83,0,4.61,clear sky
208,Bansang,GM,13.4333,-14.65,83.16,72,98,2.1,overcast clouds
209,Kulhudhuffushi,MV,6.6221,73.07,80.6,76,100,9.66,overcast clouds
210,Mozhaysk,RU,55.5019,36.0272,47.73,87,62,6.82,broken clouds
211,Ambilobe,MG,-13.2,49.05,66.78,72,0,4.09,clear sky
212,Ipixuna,BR,-1.7625,-48.8043,83.48,70,81,4.65,broken clouds
213,Rudraprayag,IN,30.2833,78.9833,67.57,86,1,3.71,clear sky
214,Ponta Do Sol,PT,32.6667,-17.1,72.23,78,37,4.94,scattered clouds
215,Iralaya,HN,15.0,-83.2333,82.49,80,7,14.29,clear sky
