City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,Arvika,59.6553,12.5852,54.21,71,81,7.94,SE,2022-09-29 14:25:47
370,Shihezi,44.3,86.0333,61.95,36,100,10.25,CN,2022-09-29 14:26:47
371,Todos Santos,23.45,-110.2167,78.3,90,0,2.15,MX,2022-09-29 14:26:47
372,Bereda,43.2686,-7.5406,60.42,100,72,6.15,ES,2022-09-29 14:26:48
373,Ankazoabo,-22.2833,44.5167,91.08,11,0,5.66,MG,2022-09-29 14:26:48
374,Dukat,62.55,155.55,27.68,97,100,6.2,RU,2022-09-29 14:26:48
375,Nybro,56.7446,15.9071,56.25,59,94,6.4,SE,2022-09-29 14:26:49
376,Altay,47.8667,88.1167,40.75,81,100,8.37,CN,2022-09-29 14:26:49
377,Barrow,71.2906,-156.7887,30.22,93,100,20.71,US,2022-09-29 14:26:29
378,Los Llanos De Aridane,28.6585,-17.9182,69.55,94,75,9.22,ES,2022-09-29 14:26:50
379,Tigtabon,6.8956,122.1669,81.46,78,100,2.89,PH,2022-09-29 14:26:50
380,Kudahuvadhoo,2.6708,72.8944,81.36,74,87,20.24,MV,2022-09-29 14:26:50
381,Takoradi,4.8845,-1.7554,81.61,68,75,8.28,GH,2022-09-29 14:26:51
382,Dutlwe,-23.9833,23.9,87.96,13,0,14.54,BW,2022-09-29 14:26:51
383,Palmer,42.1584,-72.3287,60.17,64,20,13.8,US,2022-09-29 14:26:51
384,Bodden Town,19.2833,-81.25,86.0,74,20,8.05,KY,2022-09-29 14:26:52
385,Poum,-20.2333,164.0167,77.25,78,94,14.41,NC,2022-09-29 14:26:52
386,Kodino,63.7198,39.6447,34.56,89,100,10.85,RU,2022-09-29 14:26:53
387,Jacksonville Beach,30.2947,-81.3931,70.02,92,100,23.0,US,2022-09-29 14:26:53
388,Samarai,-10.6167,150.6667,81.27,82,4,9.24,PG,2022-09-29 14:26:53
389,Rocha,-34.4833,-54.3333,59.52,51,15,6.64,UY,2022-09-29 14:26:54
390,Phalaborwa,-23.943,31.1411,85.28,27,1,6.78,ZA,2022-09-29 14:26:54
391,Tanabe,33.7333,135.3667,70.84,80,98,4.27,JP,2022-09-29 14:26:54
392,Meulaboh,4.1363,96.1285,75.7,86,100,2.28,ID,2022-09-29 14:26:54
393,Teahupoo,-17.8333,-149.2667,69.76,73,4,13.24,PF,2022-09-29 14:26:55
394,Mungwi,-10.1732,31.3694,85.6,17,90,9.46,ZM,2022-09-29 14:26:55
395,Ocos,14.5094,-92.1933,80.78,81,34,4.92,GT,2022-09-29 14:26:55
396,Bose,45.4612,8.0137,70.23,71,84,3.02,IT,2022-09-29 14:26:56
397,Vardo,70.3705,31.1107,48.18,71,0,5.75,NO,2022-09-29 14:26:56
398,Pangkalanbuun,-2.6833,111.6167,75.0,96,100,2.68,ID,2022-09-29 14:26:57
399,Barra Do Garcas,-15.89,-52.2567,86.58,51,0,9.22,BR,2022-09-29 14:26:57
400,Ginda,30.6945,78.4932,60.15,87,14,5.39,IN,2022-09-29 14:26:58
401,Brigantine,39.4101,-74.3646,64.02,65,0,14.97,US,2022-09-29 14:26:58
